title,artist,rank,genre
It's About Time,Young The Giant,59,rock
Shut Up And Dance,WALK THE MOON,60,rock
Doses & Mimosas,Cherub,61,rock
Shepherd Of Fire,Avenged Sevenfold,62,rock
All I Want,Kodaline,63,rock
Painkiller,Three Days Grace,64,rock
Cardiac Arrest,Bad Suns,65,rock
Girls,The 1975,66,rock
The Devil In I,Slipknot,67,rock
Warriors,Imagine Dragons,68,rock
House Of The Rising Sun,Five Finger Death Punch,69,rock
Take Out The Gunman,Chevelle,70,rock
Sirens,Pearl Jam,71,rock
Torn To Pieces,Pop Evil,72,rock
Forever,HAIM,73,rock
Car Radio,twenty one pilots,74,rock
Until It's Gone,Linkin Park,75,rock
Budapest,George Ezra,76,rock
Wrong Side Of Heaven,Five Finger Death Punch,77,rock
Thunder Clatter,Wild Cub,78,rock
The Wire,HAIM,79,rock
Everybody Wants To Rule The World,Lorde,80,rock
The Mother We Share,CHVRCHES,81,rock
400 Lux,Lorde,82,rock
Miss Jackson,Panic! At The Disco Featuring Lolo,83,rock
R U Mine?,Arctic Monkeys,84,rock
Every Other Freckle,alt-J,85,rock
Not About Angels,Birdy,86,rock
I Bet My Life,Imagine Dragons,87,rock
Reflections,MisterWives,88,rock
Still Into You,Paramore,89,rock
I See Fire,Ed Sheeran,90,rock
Ordinary Love,U2,91,rock
Holding On For Life,Broken Bells,92,rock
Buzzcut Season,Lorde,93,rock
Gotta Get Away,The Black Keys,94,rock
Something From Nothing,Foo Fighters,95,rock
1000hp,Godsmack,96,rock
Battle Born,Five Finger Death Punch,97,rock
Dirty Paws,Of Monsters And Men,98,rock
My Demons,Starset,99,rock
This Means War,Avenged Sevenfold,100,rock
Shut Up And Dance,WALK THE MOON,1,rock
Take Me To Church,Hozier,2,rock
Centuries,Fall Out Boy,3,rock
Uma Thurman,Fall Out Boy,4,rock
Renegades,X Ambassadors,5,rock
Ex's & Oh's,Elle King,6,rock
Budapest,George Ezra,7,rock
Riptide,Vance Joy,8,rock
I Bet My Life,Imagine Dragons,9,rock
Stolen Dance,Milky Chance,10,rock
Believe,Mumford & Sons,11,rock
Stressed Out,twenty one pilots,12,rock
Cecilia And The Satellite,Andrew McMahon In The Wilderness,13,rock
Tear In My Heart,twenty one pilots,14,rock
Someone New,Hozier,15,rock
Immortals,Fall Out Boy,16,rock
Shots,Imagine Dragons,17,rock
Brother,NEEDTOBREATHE Featuring Gavin DeGraw,18,rock
First,Cold War Kids,19,rock
Hold Back The River,James Bay,20,rock
Hallelujah,Panic! At The Disco,21,rock
The Wolf,Mumford & Sons,22,rock
Nothing Without Love,Nate Ruess,23,rock
Yellow Flicker Beat,Lorde,24,rock
Irresistible,Fall Out Boy,25,rock
Dreams,Beck,26,rock
A Sky Full Of Stars,Coldplay,27,rock
Cut The Cord,Shinedown,28,rock
Jekyll And Hyde,Five Finger Death Punch,29,rock
Ride,twenty one pilots,30,rock
S.O.B.,Nathaniel Rateliff & The Night Sweats,31,rock
