title,artist,rank,genre
Prom Queen,Beach Bunny,81,rock
When The Seasons Change,Five Finger Death Punch,82,rock
The End Of The Game,Weezer,83,rock
When Am I Gonna Lose You,Local Natives,84,rock
Northern Lights,Death Cab For Cutie,85,rock
We Are The Champions (Live Aid),Queen,86,rock
Miracle Man,Oliver Tree,87,rock
You'll Never Find Me,Korn,88,rock
All Out Life,Slipknot,89,rock
Body Talks,The Struts,90,rock
A Reason To Fight,Disturbed,91,rock
Why Did You Run?,Judah & The Lion,92,rock
Are You Ready,Disturbed,93,rock
Carry Me Away,John Mayer,94,rock
Pneuma,Tool,95,rock
10/10,Rex Orange County,96,rock
Solway Firth,Slipknot,97,rock
Orphans,Coldplay,98,rock
Legendary,Skillet,99,rock
Dear Future Self (Hands Up),Fall Out Boy Featuring Wyclef Jean,100,rock
Mood,24kGoldn Featuring iann dior,1,rock
Come & Go,Juice WRLD x Marshmello,2,rock
High Hopes,Panic! At The Disco,3,rock
Bang!,AJR,4,rock
Death Bed,Powfu Featuring beabadoobee,5,rock
Cardigan,Taylor Swift,6,rock
Level Of Concern,twenty one pilots,7,rock
Supalonely,BENEE Featuring Gus Dapperton,8,rock
"Hey Look Ma, I Made It",Panic! At The Disco,9,rock
My Ex's Best Friend,Machine Gun Kelly X blackbear,10,rock
Bloody Valentine,Machine Gun Kelly,11,rock
My Future,Billie Eilish,12,rock
Exile,Taylor Swift Featuring Bon Iver,13,rock
Moral Of The Story,Ashe,14,rock
Are You Bored Yet?,Wallows Featuring Clairo,15,rock
Dance Monkey,Tones And I,16,rock
Dreams,Fleetwood Mac,17,rock
Can I Call You Tonight?,Dayglow,18,rock
Popular Monster,Falling In Reverse,19,rock
Everything I Wanted,Billie Eilish,20,rock
Man Of The Year,Juice WRLD,21,rock
Lost In Yesterday,Tame Impala,22,rock
My Tears Ricochet,Taylor Swift,23,rock
August,Taylor Swift,24,rock
Hallucinogenics,Matt Maeson,25,rock
City Of Angels,24kGoldn,26,rock
Orphans,Coldplay,27,rock
Caution,The Killers,28,rock
Monsters,All Time Low Featuring blackbear,29,rock
Mariposa,Peach Tree Rascals,30,rock
The Hype,twenty one pilots,31,rock
Gimme Love,Joji,32,rock
Sick And Tired,iann dior Featuring Machine Gun Kelly & Travis Barker,33,rock
Mirrorball,Taylor Swift,34,rock
Honeybee,The Head And The Heart,35,rock
I Just Wanna Shine,Fitz And The Tantrums,36,rock
Seven,Taylor Swift,37,rock
Running Up That Hill,Meg Myers,38,rock
Angels & Demons,jxdn,39,rock
This Is Me Trying,Taylor Swift,40,rock
Under The Graveyard,Ozzy Osbourne,41,rock
A Little Bit Off,Five Finger Death Punch,42,rock
Forget Me Too,Machine Gun Kelly & Halsey,43,rock
Inside Out,Five Finger Death Punch,44,rock
Sofia,Clairo,45,rock
Mad Woman,Taylor Swift,46,rock
Novocaine,The Unlikely Candidates,47,rock
Oh Yeah!,Green Day,48,rock
Heat Waves,Glass Animals,49,rock
Wolf Totem,The Hu Featuring Jacoby Shaddix,50,rock
Might Be Right,White Reaper,51,rock
16,Highly Suspect,52,rock
Peace,Taylor Swift,53,rock
Epiphany,Taylor Swift,54,rock
Bad Decisions,The Strokes,55,rock
Eyes Blue Like The Atlantic,Sista_Prod Featuring Subvrbs,56,rock
Who Am I,NEEDTOBREATHE,57,rock
Life In The City,The Lumineers,58,rock
Daylight,Joji x Diplo,59,rock
Black Madonna,Cage The Elephant,60,rock
Your Love (Deja Vu),Glass Animals,61,rock
Hoax,Taylor Swift,62,rock
Let Me Down,Oliver Tree,63,rock
Hero,Weezer,64,rock
No Time To Die,Billie Eilish,65,rock
Tongue Tied,"Marshmello, YUNGBLUD & blackbear",66,rock
I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker,67,rock
The Best,AWOLNATION,68,rock
Hurricane,I Prevail,69,rock
Why Are You Here,Machine Gun Kelly,70,rock
Outnumbered,Dermot Kennedy,71,rock
Patience,Chris Cornell,72,rock
Someone To You,Banners,73,rock
Nightlight,ILLENIUM,74,rock
Used To Like,Neon Trees,75,rock
loneliness for love,lovelytheband,76,rock
Deleter,Grouplove,77,rock
I Think We're Alone Now,Billie Joe Armstrong,78,rock
Sober,Bad Wolves,79,rock
Ordinary Man,Ozzy Osbourne Featuring Elton John,80,rock
Killing Me Slowly,Bad Wolves,81,rock
Overwhelmed,Royal & The Serpent,82,rock
Concert For Aliens,Machine Gun Kelly,83,rock
Drunk Face,Machine Gun Kelly,84,rock
The Chain,Fleetwood Mac,85,rock
Dance Of The Clairvoyants,Pearl Jam,86,rock
Lost In The Woods,Weezer,87,rock
Far Away,Breaking Benjamin Featuring Scooter Ward,88,rock
If You're Too Shy (Let Me Know),The 1975,89,rock
Unforgettable,Godsmack,90,rock
Hell N Back,Bakar,91,rock
The End Of The Game,Weezer,92,rock
Atlas Falls,Shinedown,93,rock
History Of Violence,Theory Of A Deadman,94,rock
Shine A Little Light,The Black Keys,95,rock
Breathe Deeper,Tame Impala,96,rock
Me & You Together Song,The 1975,97,rock
All I Know,Machine Gun Kelly Featuring Trippie Redd,98,rock
Ur So cOoL,Tones And I,99,rock
I Really Wish I Hated You,Blink-182,100,rock
Mood,24kGoldn Featuring iann dior,1,rock
Heat Waves,Glass Animals,2,rock
Without You,The Kid LAROI,3,rock
My Ex's Best Friend,Machine Gun Kelly X blackbear,4,rock
Therefore I Am,Billie Eilish,5,rock
Willow,Taylor Swift,6,rock
Bang!,AJR,7,rock
Beggin',Maneskin,8,rock
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,9,rock
A-O-K,Tai Verdes,10,rock
Happier Than Ever,Billie Eilish,11,rock
Brutal,Olivia Rodrigo,12,rock
Monsters,All Time Low Featuring blackbear,13,rock
Way Less Sad,AJR,14,rock
Follow You,Imagine Dragons,15,rock
Come & Go,Juice WRLD x Marshmello,16,rock
Your Power,Billie Eilish,17,rock
My Universe,Coldplay x BTS,18,rock
transparentsoul,Willow Featuring Travis Barker,19,rock
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,20,rock
Freaks,Surf Curse,21,rock
Lost Cause,Billie Eilish,22,rock
Champagne Problems,Taylor Swift,23,rock
Higher Power,Coldplay,24,rock
Saturday,twenty one pilots,25,rock
I Wanna Be Your Slave,Maneskin,26,rock
All My Favorite Songs,Weezer,27,rock
Sofia,Clairo,28,rock
Runaway,AURORA,29,rock
NDA,Billie Eilish,30,rock
Shy Away,twenty one pilots,31,rock
Forget Me Too,Machine Gun Kelly & Halsey,32,rock
Wrecked,Imagine Dragons,33,rock
Dreams,Fleetwood Mac,34,rock
Someone To You,Banners,35,rock
Cloud 9,Beach Bunny,36,rock
La Di Die,Nessa Barrett Featuring jxdn,37,rock
Paralyzed,Sueco,38,rock
Fly Away,Tones And I,39,rock
Gold Rush,Taylor Swift,40,rock
Serotonin,girl in red,41,rock
Solar Power,Lorde,42,rock
'Tis The Damn Season,Taylor Swift,43,rock
Violent,carolesdaughter,44,rock
Plastic Hearts,Miley Cyrus,45,rock
Missing Piece,Vance Joy,46,rock
Tolerate It,Taylor Swift,47,rock
SugarCrash!,ElyOtto,48,rock
"I Am Not A Woman, I'm A God",Halsey,49,rock
Love Race,Machine Gun Kelly Featuring Kellin Quinn,50,rock
Exile,Taylor Swift Featuring Bon Iver,51,rock
I Hope Ur Miserable Until Ur Dead,Nessa Barrett,52,rock
Cardigan,Taylor Swift,53,rock
Ivy,Taylor Swift,54,rock
Dancing In My Room,347aidan,55,rock
Life Goes On,Oliver Tree,56,rock
Jealous,Eyedress,57,rock
Happiness,Taylor Swift,58,rock
Deep End,Foushee,59,rock
Fire For You,Cannons,60,rock
Shame Shame,Foo Fighters,61,rock
Evermore,Taylor Swift Featuring Bon Iver,62,rock
Till Forever Falls Apart,Ashe & Finneas,63,rock
Renegade,Big Red Machine Featuring Taylor Swift,64,rock
Long Story Short,Taylor Swift,65,rock
Papercuts,Machine Gun Kelly,66,rock
Coney Island,Taylor Swift Featuring The National,67,rock
Paparazzi,kim dracula,68,rock
Edamame,bbno$ Featuring Rich Brian,69,rock
Last Train Home,John Mayer,70,rock
The Adults Are Talking,The Strokes,71,rock
Welcome To My House,Nu Breed & Jesse Howard,72,rock
Billie Bossa Nova,Billie Eilish,73,rock
Daywalker!,Machine Gun Kelly & CORPSE,74,rock
Skin And Bones,Cage The Elephant,75,rock
Inferno,Sub Urban & Bella Poarch,76,rock
Rat,Penelope Scott,77,rock
Break It Off,PinkPantheress,78,rock
Waiting On A War,Foo Fighters,79,rock
Heading South,Zach Bryan,80,rock
Believer,Imagine Dragons,81,rock
Getting Older,Billie Eilish,82,rock
Cowboy Like Me,Taylor Swift,83,rock
Dorothea,Taylor Swift,84,rock
I Didn't Change My Number,Billie Eilish,85,rock
Trouble's Coming,Royal Blood,86,rock
You,"benny blanco, Marshmello & Vance Joy",87,rock
Colors,Black Pumas,88,rock
Marjorie,Taylor Swift,89,rock
Overwhelmed,Royal & The Serpent,90,rock
Prom Night,Riovaz,91,rock
Drugs,Tai Verdes,92,rock
Oxytocin,Billie Eilish,93,rock
Making A Fire,Foo Fighters,94,rock
Halley's Comet,Billie Eilish,95,rock
Drunk Face,Machine Gun Kelly,96,rock
Bloody Valentine,Machine Gun Kelly,97,rock
Heat Above,Greta Van Fleet,98,rock
Lo Vas A Olvidar,Billie Eilish & ROSALIA,99,rock
Damn!,Jeris Johnson,100,rock
Heat Waves,Glass Animals,1,rock
abcdefu,GAYLE,2,rock
Enemy,Imagine Dragons X JID,3,rock
Running Up That Hill (A Deal With God),Kate Bush,4,rock
Sunroof,Nicky Youre & dazy,5,rock
Bad Habit,Steve Lacy,6,rock
Something In The Orange,Zach Bryan,7,rock
Happier Than Ever,Billie Eilish,8,rock
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,9,rock
Son Of A Sinner,Jelly Roll,10,rock
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,11,rock
Bones,Imagine Dragons,12,rock
Beggin',Maneskin,13,rock
Until I Found You,Stephen Sanchez,14,rock
I Love You So,The Walters,15,rock
My Universe,Coldplay x BTS,16,rock
Tek It,Cafune,17,rock
Romantic Homicide,d4vd,18,rock
Toxic,BoyWithUke,19,rock
World's Smallest Violin,AJR,20,rock
Infinity,Jaymes Young,21,rock
Master Of Puppets,Metallica,22,rock
Without You,The Kid LAROI,23,rock
Notion,The Rare Occasions,24,rock
Life Goes On,Oliver Tree,25,rock
Static,Steve Lacy,26,rock
Tom's Diner,AnnenMayKantereit & Giant Rooks,27,rock
Alien Blues,Vundabar,28,rock
Oklahoma Smoke Show,Zach Bryan,29,rock
Stick Season,Noah Kahan,30,rock
Black Summer,Red Hot Chili Peppers,31,rock
IDGAF,BoyWithUke X blackbear,32,rock
Emo Girl,Machine Gun Kelly & WILLOW,33,rock
Make Up Sex,Machine Gun Kelly X blackbear,34,rock
From Austin,Zach Bryan,35,rock
TV,Billie Eilish,36,rock
Supermodel,Maneskin,37,rock
"Sex, Drugs, Etc.",Beach Weather,38,rock
Dark Red,Steve Lacy,39,rock
Ay!,Machine Gun Kelly & Lil Wayne,40,rock
Bite Me,Avril Lavigne,41,rock
Wild Child,The Black Keys,42,rock
Maybe,Machine Gun Kelly & Bring Me The Horizon,43,rock
Looking Out For You,Joy Again,44,rock
Sharks,Imagine Dragons,45,rock
Voices In My Head,Falling In Reverse,46,rock
The Rumbling,SiM,47,rock
Zombified,Falling In Reverse,48,rock
Die First,Nessa Barrett,49,rock
Good Looking,Suki Waterhouse,50,rock
Mary On A Cross,Ghost,51,rock
Love It When You Hate Me,Avril Lavigne Featuring blackbear,52,rock
Heavy Eyes,Zach Bryan,53,rock
Sweet Child O' Mine,Guns N' Roses,54,rock
Edamame,bbno$ Featuring Rich Brian,55,rock
Could Have Been Me,Halsey,56,rock
Heaven Help Me,Zach Williams,57,rock
Sun To Me,Zach Bryan,58,rock
Mercury,Steve Lacy,59,rock
Sold Out,HARDY,60,rock
This Side Of Paradise,Coyote Theory,61,rock
"Burn, Burn, Burn",Zach Bryan,62,rock
Apocalypse,Cigarettes After Sex,63,rock
Hayloft II,Mother Mother,64,rock
Creeps,Koe Wetzel,65,rock
The 30th,Billie Eilish,66,rock
Record Player,Daisy The Great X AJR,67,rock
So Called Life,Three Days Grace,68,rock
Something In The Way,Nirvana,69,rock
505,Arctic Monkeys,70,rock
Heart Of God,Zach Williams,71,rock
Run Away To Mars,TALK,72,rock
Hotel,Montell Fish,73,rock
My Love,Florence + The Machine,74,rock
Highway Boys,Zach Bryan,75,rock
The Perfect Girl,Mareux,76,rock
Brightside,The Lumineers,77,rock
Something About You,Eyedress Featuring Dent May,78,rock
Nuts,Lil Peep Featuring rainy bear,79,rock
Another Love,Tom Odell,80,rock
Cracker Island,Gorillaz Featuring Thundercat,81,rock
Pope Is A Rockstar,SALES,82,rock
Paralyzed,Sueco,83,rock
Taking Me Back,Jack White,84,rock
Won't Stand Down,Muse,85,rock
Planet Zero,Shinedown,86,rock
The Outside,twenty one pilots,87,rock
Fall In Love With You.,Montell Fish,88,rock
Sunshine,Steve Lacy Featuring Foushee,89,rock
Ramon Ayala,Giovannie & The Hired Guns,90,rock
Everlong,Foo Fighters,91,rock
Where We Are,The Lumineers,92,rock
Wrecked,Imagine Dragons,93,rock
Daylight,Shinedown,94,rock
A Little Bit Of Love,Weezer,95,rock
Loser,Sueco,96,rock
Separate Ways (Worlds Apart) (Bryce Miller/Alloy Tracks Remix),Journey,97,rock
Cabo,Koe Wetzel,98,rock
I Hope Ur Miserable Until Ur Dead,Nessa Barrett,99,rock
Boy,The Killers,100,rock
