title,artist,rank,genre,year
Closer To Your Heart,Natalie Grant,76,Christian,2014
Say Amen,Finding Favour,77,Christian,2014
Take The Bullets Away,We As Human Featuring Lacey Sturm,78,Christian,2014
Messengers,Lecrae Featuring for KING & COUNTRY,79,Christian,2014
No One Higher,Aaron Shust,80,Christian,2014
Thank God I Got Her,Jonny Diaz,81,Christian,2014
Here For A Reason,Ashes Remain,82,Christian,2014
Lay It Down,Sanctus Real,83,Christian,2014
He Knows,Jeremy Camp,84,Christian,2014
When We Come Alive,Switchfoot,85,Christian,2014
You're Not Alone,Owl City Featuring Britt Nicole,86,Christian,2014
No Other Name,Hillsong Worship,87,Christian,2014
This I Believe (The Creed),Hillsong Worship,88,Christian,2014
God's Great Dance Floor,Chris Tomlin,89,Christian,2014
In Christ Alone,Passion Featuring Kristian Stanfill,90,Christian,2014
Relentless,Hillsong UNITED,91,Christian,2014
I Can Just Be Me,Laura Story,92,Christian,2014
You Amaze Us,Selah,93,Christian,2014
Fire And Fury,Skillet,94,Christian,2014
We Are Brave,Shawn McDonald,95,Christian,2014
Architecture,Jonathan Thulin,96,Christian,2014
"Hello, My Name Is",Matthew West,97,Christian,2014
Never Once,one sonic society,98,Christian,2014
Outsiders,Lecrae,99,Christian,2014
Wasteland,NEEDTOBREATHE,100,Christian,2014
Something In The Water,Carrie Underwood,1,Christian,2015
Oceans (Where Feet May Fail),Hillsong UNITED,2,Christian,2015
Brother,NEEDTOBREATHE Featuring Gavin DeGraw,3,Christian,2015
Soul On Fire,Third Day Featuring All Sons & Daughters,4,Christian,2015
Flawless,MercyMe,5,Christian,2015
Touch The Sky,Hillsong UNITED,6,Christian,2015
Holy Spirit,Francesca Battistelli,7,Christian,2015
Shoulders,for KING & COUNTRY,8,Christian,2015
Greater,MercyMe,9,Christian,2015
Drops In The Ocean,Hawk Nelson,10,Christian,2015
Because He Lives (Amen),Matt Maher,11,Christian,2015
First,Lauren Daigle,12,Christian,2015
How Can It Be,Lauren Daigle,13,Christian,2015
Even So Come,Passion Featuring Kristian Stanfill,14,Christian,2015
At The Cross (Love Ran Red),Chris Tomlin,15,Christian,2015
He Knows My Name,Francesca Battistelli,16,Christian,2015
Come As You Are,Crowder,17,Christian,2015
Feel It,tobyMac Featuring Mr. Talkbox,18,Christian,2015
Through All Of It,Colton Dixon,19,Christian,2015
Beyond Me,tobyMac,20,Christian,2015
Day One,Matthew West,21,Christian,2015
He Knows,Jeremy Camp,22,Christian,2015
I Am Not Alone,Kari Jobe,23,Christian,2015
Broken Together,Casting Crowns,24,Christian,2015
Same Power,Jeremy Camp,25,Christian,2015
Jesus Loves Me,Chris Tomlin,26,Christian,2015
"That Was Then, This Is Now",Josh Wilson,27,Christian,2015
Lift Your Head Weary Sinner (Chains),Crowder,28,Christian,2015
Exhale,Plumb,29,Christian,2015
My Story,Big Daddy Weave,30,Christian,2015
Overwhelmed,Big Daddy Weave,31,Christian,2015
Just Be Held,Casting Crowns,32,Christian,2015
Cast My Cares,Finding Favour,33,Christian,2015
Prodigal,Sidewalk Prophets,34,Christian,2015
There Is Power,Lincoln Brewster,35,Christian,2015
Who I Am,Blanca,36,Christian,2015
Good Fight,Unspoken,37,Christian,2015
Air I Breathe,Mat Kearney,38,Christian,2015
Lord I'm Ready Now,Plumb,39,Christian,2015
Impossible,Building 429,40,Christian,2015
The River,Jordan Feliz,41,Christian,2015
Good Good Father,Chris Tomlin,42,Christian,2015
Something Beautiful,Steven Curtis Chapman,43,Christian,2015
The Old Rugged Cross,Craig Wayne Boyd,44,Christian,2015
You Will Never Run,Rend Collective,45,Christian,2015
This Is Living,Hillsong Young & Free Featuring Lecrae,46,Christian,2015
I'll Keep On,NF Featuring Jeremiah Carlson,47,Christian,2015
Save My Life,Sidewalk Prophets,48,Christian,2015
The Maker,Chris August,49,Christian,2015
No Turning Back,Brandon Heath,50,Christian,2015
Oceans (Where Feet May Fail),Hillsong UNITED,1,Christian,2016
Trust In You,Lauren Daigle,2,Christian,2016
Good Good Father,Chris Tomlin,3,Christian,2016
